caseid,mobilpo_wparty_oth,postvote_presvtwho_oth,postvote_vtpresdec,postvote_prefprwho_oth,ofcrec_speaker,ofcrec_vp,ofcrec_pmuk,ofcrec_cj,mip_prob1,mip_prob2,mip_prob3,mip_mostprob,fairjob_opin_oth,abort_dpc4_oth,abort_rpc4_oth,abort_dem4_oth,abort_rep4_oth,aapost_hire_oth,cses_ptycont_oth,pohisp_hispnews_oth,pohisp_renglish_oth,pohisp_rspanish_oth,CASISTARTPO_IWRSET6
4364,,,from last presidential election....4 yrs ago,,house speaker,vice president,dont know,dont know,race...blacks and other minoritys are treated like second rate citizens...unless they are millionaires,republicans should be more intouch with real people...the ones that most of them would classify as the 47 percent  that romney spoke about,elections can be influenced by large sums of cash,race,,,,,,,,,,,
4365,,,not long,,I am not sure,Vic president,I am not sure,I am not sure,bring back job to the u.s,killing each other,working together,stop the war,,,,,,,,,,,
4366,,,when he was announced,,speaker of the house,vice president,Prime Minister of UK,Chief Justice,"economy-although it is rising, i worry about long range with the deficit, college students with jobs, social security, etc",Energy-our reliance on others,education-getting our children ahead and offering ways to making college more obtainable,economy as a whole,eeoc,,,,,,,,,,
4367,,,I always knew.,,Not sure took Nancy P's job. :),Vice President,Do not know.,Do not know,"Jobs, not enough that pay well enough.",Cost of living,-7 Refused,Unemployment and well paying jobs.,Only if it gets out of hand then step in.,,,,,,,,,,
4368,,,-1 Inapplicable,,gop house speaker,vp,don't know,unsure,loss jobs and the economy,taxes,no more that's important to my family,the economy,,,,,,,,,,,
4369,,,One year,,Leader of house of represnitves,Vice president,Uk priminister,Chief justice,"Economy, unemployment, goverment spending",-7 Refused,-1 Inapplicable,,,,,,,,,,,,
4370,,,4 or 5 months ago maybe,,Selfish,Vice Pred's,not sure,not sure,congress are being hater's,raceisum,job security,how many ways can u ask the same empty question,,,,,,,,,,,
4371,,,a few months,,no,vice president,-7 Refused,-7 Refused,-7 Refused,-1 Inapplicable,-1 Inapplicable,,,,,,,,,,,,
4372,,,,,,,,,,,,,,,,,,,,,,,
4373,,,-1 Inapplicable,,Unsure,Vice President,Unsure,Senator,"economy, national security",none,none,the economy (job growth),,,,,,,,,,,
4374,,,Three months,,Speaker of the House,Vice President,Don't know,Supreme Court Head Justice,Economy and jobs,National debt,-7 Refused,Economy,,,,,,,,,,,
4375,,,four years earlier,,speaker of the House,Lunch bucket Joe     foot in mouth Joe VP,Prime Minister in UK,chief justice   traitor,Non adherence to the constitution- a ruling elite class in DC rampant spending a govt that refuses to use our own resources for energy a president who rules by fiat (I thought we got rid of the monarchy in 1776) Obamacare  and sadly to say from the results of this election a class of people who are looking to government to be Santa Claus - this is not the USA I knew and loved,Barack Obama,energy independence,socialism,,,,,,,,,,,
4376,,,about 2 weeks before,,I think he's the majority leader.,VP of US,Don't know.,Don't know.,The amount of money we owe as a country.,The economy.,Health care,The amount we owe as a country.,I think they should see to it that everyone gets fair treatment.,,,,,,,,,,
4377,,,One Year,,Speaker of The House of Reps,Vice President,??,Supreme Court Justice,Economy Employment Opportunities Entitlement Attitudes Marriage Families,Childhood Education,Family Structure Breakdown,Economy,,,,,,,,,,,
4378,,,Not long at all,,Speaker of the House (Republican),Vice President (Democrat),Senator,Supreme Court Justice,"Fiscal Cliff, and Debt","War in Afghanistan, and the nuclear weapons, as well as the war between israelis andf palestinians",Foreign Relations,foreign relations,,,,,,,,,,,
4379,,,One month,,I don't know,U S A Vice President,I don't know,I don't know,Not enough jobs,Education,Fighting in wars,Creatingn jobs,,,,,,,,,,,
4380,,,4 years,,speaker of the house,vice president,UK prime minister,chief justice SCOTUS,role and size of government,personal responsibility,-7 Refused,limiting the size and role of government,,,,,,,,,,,
4381,,,2 years,,dont know,vice president,dont know,dont know,"economy sucks, no jobs, health insurance needs to improve",giving to much aide to other countries,none,the economy,,,,,,,,,,,
4382,,,4 years ago,,speaker of the house,vice president,don't know,don't know,"people not having enough money for mortgage, and health care.",people not able to find jobs in this country. so many companies are outsourcing.,no,people not able to pay for health care.,,,,,,,,,,,
4383,,,I made my decision within 10 minutes of leaving for the polling place.,,Speaker,VP,PM UK,Supreme Court,Economy - jobs and debt,National Security,Healthcare,Economy - jobs and debt,,,,,,,,,,,
4384,,,As soon as Mitt got nominated,,Speaker of the house,VP,not sure but I think it's something in England,Cheif Justice,securing our borders from any and all illeagals,foreign policy,strengthing our military,military,,,,,,,,,,,
4385,,,,,,,,,,,,,,,,,,,,,,,
4386,,,-1 Inapplicable,,-7 Refused,Vice Pres.,-7 Refused,-7 Refused,"In this country we cannot force the rich, corporations, or policymakers to provide jobs or health care  for the working middle class, or stop sending jobs overseas; or even pay their fair share of taxes.  I just wish there was a way to legally make the rich do the right thing.  Investing in America and educating all citizens who want provide for themselves and their families should paramount. Doing this would allow more poor, and  working middle class persons to contribute more to the tax base, their communities, and the country.  What happened to being only as strong as the weakeast link?  America seems to be about the 1 percent  and excluding the 99 percent  any policies that would help them help themselves to a more productive way of life.",The party system is in a terrible state in America.  Most of the career politicans of any party are only interested in serving themselves and special interest groups that throw money at them. If I were granted a wish I would want Congress and the House to expell every politican who does not serve the 99 percent .  There are some honest politicans from the Democrats and the Republicans that should be working together to fix this country's problems.,"The efforts to corrupt this nations youth seem to working perfectly.  They are being exploited in every arena.  The rich have money to help them in their old age.  However poor and working class families have the next generation, this nations youth, to look to for our care now and in the future.  Things seem to be going backwards for most Americans in the 99 percent  due to poor and unequal public education systems throughout this country.",Education.,,,,,,,,,,,
4387,,,-1 Inapplicable,,Not sure,Vice President,Not sure,Not sure,The economy,Education,Jobs,Economy,,,,,,,,,,,
4388,,,,,,,,,,,,,,,,,,,,,,,
4389,,,2 wks,,-7 Refused,vp,-7 Refused,-7 Refused,taxesincrease,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
4390,,,3 months,,Senator,VP,?,?,Divisiveness,Economic recovery,-7 Refused,Divisiveness,,,,,,,,,,,
4391,,,5 seconds after Mitt Romney became the Republican Candidate,,Speaker of the House,Vice President,Prime Minister,Cheif Justice,The economy and unemployment,Healthcare,Education,The economy,"This city, county, and state issue",,,,,,,,,,
4392,,,-1 Inapplicable,,majority leader,vice president,-7 Refused,-7 Refused,high unemployment,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
4393,,,The night before,,don't know,Vice-President of the USA,don't know,Justice of the Supreme Court,Health care becoming socialized. I'm concerned that it will decrease our quality and desire to improve healthcare.,Life. Abortion and legalization of Euthanasia greatly concerns me.,economy/job loss,healthcare,,,,,,,,,,,
4394,,,2 Months,,Speaker of the House,Vice President,Prime Misnister of the UK,Cheif Justice,The Economy and Jobs,Fuel and Health Care,No,Economy,,,,,,,,,,,
4395,,,Always knew who I was going to vote for.,,I don't know.,Vice president,I don't know.,I don't know.,Healthcare Womens Rights Education,Resistance to change,Enviroment,Environment,,,,,,,,,,,
4396,,,-1 Inapplicable,,don't know,VP,don't know,don't know,Global warming jobs inflation,immigration,Education,Economy,,,,,,,,,,,
4397,,,about a month,,barley reconize the name.,Vice President,Don't know,don't know,The economy because of the lack of jobs created by Obama's policy's,way too much Government spending on ex empoyees,Illegle immagration,lack of jobs,color does not matter,,,,,,,,,,
4398,,,,,,,,,,,,,,,,,,,,,,,
4399,,,Once I realized that Ron Paul was not running for president.,,Majority leader,Vice President,No clue,No Clue,Fiscal Cliff.,Rich people not paying their share of taxes due to loopholes.,no,Rich people not paying their fair share of taxes due to loopholes.,All should be treated equal...not just blacks.,,,,,,,,,,
4400,,,-1 Inapplicable,,Speaker of the House of Representatives,Vice President of USA,Prime Minister of the UK,Chief Justice of the Supreme Court of USA,"The economy. With a robust economy many of the nations problems would be lessened if not eliminated. When the economy is good, jobs are plentiful, people feel good about themeselves, money is generated to help many of the social problems, people feel more generous with time and money. The rest of the world respects a nation with a strong economy.",Jobs and security of. Lack of enforcing immigration laws and meaningful pathway for immigration. Border security. Totally inept presidential administration and leadership. Completely ineffective Congress,Activist Jurist. Over-zealist regulators such as EPA,Economic growth,,,,,,,,,,,
4401,,,It only took me seconds to decide on who I wanted the candidates to be. Democratic research was done on search engines at school in the library on each individual candidate and political party I voted for.,,I am not sure.,I didn't keep up with all the political offices.,I don't remember.,don't know,"The death penalty is an important issue facing this country, Since the three strikes law alot of criminals will get life sentenced after major crimes. Another issue is the Klu Klux Klan racial hate crimes.","Getting people to vote, during election people get desperate on candidates for president and commits fraud voting on the computerized system people were illegally putting in numerous of votes on a candidate.",welfare system governmental funds,"The single most important problem faced in this country is capital punishment, is it actually legal for the government to commit murder electric chair, gas chamber.",,,,,,,,,,,
4402,,,No time at all,,I do not know,Vice president,No clue,No clue,We need to get away of world government and keep out of world policy and do what's best for our country,Economy,Health care,Our economy,,,,,,,,,,,
4403,,,2 months,,-7 Refused,vp,-7 Refused,-7 Refused,employment for the young,-7 Refused,-1 Inapplicable,,,,,,,,,,,,
4404,,,when I got to the voting booth,,Speaker of House,Vice President,no idea,Chief Justice,economy-jobs - too many businesses are running on the chase for the almighty buck.  They need to get off earnings as the harbinger of success - they need to look at quality of product and happiness of workforce,debt  - far too much and far too much over spending by congress,gridlock between political parties in Washington - they need to work together for our country,jobs,Affirmitive Action needs to go away - best person for the job - ignore ethnicity,,,,,,,,,,
4405,,,August 2012,,Speaker of House,Vice President,PM of UK,Chief Justice,The economy is screwed up.,Lack of long term out look for the country.,-7 Refused,The screwed up economy,,,,,,,,,,,
4406,,,perhaps 3 months prior,,Speaker of house of representatives,VP of USA,do not know,Chief supreme court justice,Increasing family wage jobs to improve the economy - sooner not later,Reduction of huge national debt -REDUCE SPENDING NOW,Secure our borders from terrorists and flood of illegal immigration,Jobs for the economy,,,,,,,,,,,
